药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
sanyeguizhencao,三叶鬼针草,Sān Yè Guǐ Zhēn Cǎo,鬼针草,,,https://www.zysj.com.cn/zhongyaocai/sanyeguizhencao/index.html,1,《中药大辞典》,2025-12-21 21:41:02
sanyeqing,三叶青,Sān Yè Qīnɡ,金线吊葫芦、丝线吊金钟、三叶扁藤、石老鼠、小扁藤、石猴子、土经丸,"images/sanyeqing_1.jpg,images/sanyeqing_2.jpg","https://www.zysj.com.cn/zhongyaocai/sanyeqing/sanyeqing_1.jpg,https://www.zysj.com.cn/zhongyaocai/sanyeqing/sanyeqing_2.jpg",https://www.zysj.com.cn/zhongyaocai/sanyeqing/index.html,1,《全国中草药汇编》,2025-12-21 21:41:03
sanyetongqiancao,三叶铜钱草,Sān Yè Tónɡ Qián Cǎo,山酢浆草。,,,https://www.zysj.com.cn/zhongyaocai/sanyetongqiancao/index.html,1,《中华本草》,2025-12-21 21:41:03
sanyejinjinxiang,三叶金锦香,Sān Yè Jīn Jǐn Xiānɡ,,,,https://www.zysj.com.cn/zhongyaocai/sanyejinjinxiang/index.html,1,《中华本草》,2025-12-21 21:41:04
sanyedou,三叶豆,,干枝柳、化食草,,,https://www.zysj.com.cn/zhongyaocai/sanyedou/index.html,1,《全国中草药汇编》,2025-12-21 21:41:04
anchundan,鹌鹑蛋,ān Chun Dàn,,,,https://www.zysj.com.cn/zhongyaocai/anchundan/index.html,1,《全国中草药汇编》,2025-12-21 21:41:04
anchun,鹌鹑,ān Chun,鹑鸟（《毛诗传》），循（《禽经》注），宛鹑（《广志》），赤喉鹑（《动物学大辞典》），红面鹌鹑（《中国动物图谱·鸟类》）。,,,https://www.zysj.com.cn/zhongyaocai/anchun/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:04
baitan_6269,白炭,Bái Tàn,火炭（《千金方》），无纹炭（《圣济总录》），木炭（《普济方》），焊炭（《经验方》）。,,,https://www.zysj.com.cn/zhongyaocai/baitan_6269/index.html,1,《中药大辞典》,2025-12-21 21:41:04
bogucao,驳骨草,Bó Gǔ Cǎo,小功劳（《云南中草药选》）,,,https://www.zysj.com.cn/zhongyaocai/bogucao/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:05
congshi,葱实,Cōnɡ Shí,葱子（《日华子本草》）,,,https://www.zysj.com.cn/zhongyaocai/congshi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:05
dizhi,鸐雉,Dí Zhì,翟、山雉、翟鸡、山鸡、鸐鸟,,,https://www.zysj.com.cn/zhongyaocai/dizhi/index.html,1,《中华本草》,2025-12-21 21:41:05
fuyu_7320,鳆鱼,Fù Yú,鲍鱼（《素问》），石决明肉（《本草衍义》），镜面鱼、明目鱼（《医林纂要》）。,,,https://www.zysj.com.cn/zhongyaocai/fuyu_7320/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:06
guixue,龟血,Guī Xuè,,images/guixue_1.jpg,https://www.zysj.com.cn/zhongyaocai/guidanzhi/guixue_1.jpg,https://www.zysj.com.cn/zhongyaocai/guixue/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:06
heihuqi,黑虎七,Hēi Hǔ Qī,铁杆七、黑龙七、大叶狗牙七,,,https://www.zysj.com.cn/zhongyaocai/heihuqi/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 21:41:07
heilongchuanjin,黑龙串筋,Hēi Lónɡ Chuàn Jīn,大叶勾儿茶、黑观音,,,https://www.zysj.com.cn/zhongyaocai/heilongchuanjin/index.html,2,《全国中草药汇编》;《中药大辞典》,2025-12-21 21:41:07
heilongsi,黑龙丝,Hēi Lónɡ Sī,白马分鬃、铁线蕨、猪鬃草,,,https://www.zysj.com.cn/zhongyaocai/heilongsi/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 21:41:07
jirou_8154,麂肉,Jǐ Ròu,小麂 、黄麂,,,https://www.zysj.com.cn/zhongyaocai/jirou_8154/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:07
loudoujutai,漏斗苣苔,,青竹标[贵州],,,https://www.zysj.com.cn/zhongyaocai/loudoujutai/index.html,1,《全国中草药汇编》,2025-12-21 21:41:07
mahuanggen,麻黄根,Má Huánɡ Gēn,苦椿菜（《大同府志》）,,,https://www.zysj.com.cn/zhongyaocai/mahuanggen/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-21 21:41:08
ningmenganguo,柠檬桉果,Nínɡ Ménɡ ān Guǒ,,,,https://www.zysj.com.cn/zhongyaocai/ningmenganguo/index.html,1,《中华本草》,2025-12-21 21:41:08
ou_9477,鸥,ōu,鹭（《诗经》），水鸮（《说文》），江鸥、海鸥（《南越志》）。,,,https://www.zysj.com.cn/zhongyaocai/ou_9477/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:08
pangpiyu,鳑魮鱼,Pánɡ Pí Yú,鱊鮬、鳜鯞（《尔雅》），婢聂、青衣鱼（崔豹《古今注》），旁皮鲫（《尔雅翼》），鮬鱼（《滇南本草》），文魮（《医林纂要》）。,,,https://www.zysj.com.cn/zhongyaocai/pangpiyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:08
qidunguo,齐墩果,Qí Dūn Guǒ,,"images/qidunguo_1.jpg,images/qidunguo_2.jpg,images/qidunguo_3.jpg,images/qidunguo_4.jpg","https://www.zysj.com.cn/zhongyaocai/qidunguo/qidunguo_4.jpg,https://www.zysj.com.cn/zhongyaocai/qidunguo/qidunguo_2.jpg,https://www.zysj.com.cn/zhongyaocai/qidunguo/qidunguo_1.jpg,https://www.zysj.com.cn/zhongyaocai/qidunguo/qidunguo_3.jpg",https://www.zysj.com.cn/zhongyaocai/qidunguo/index.html,1,《中华本草》,2025-12-21 21:41:10
ruanguguoshanlong,软骨过山龙,,三叶木通、沙叶铁线莲,,,https://www.zysj.com.cn/zhongyaocai/ruanguguoshanlong/index.html,1,《全国中草药汇编》,2025-12-21 21:41:10
shuizhuimu,水椎木,Shuǐ Zhuī Mù,水杨柳、细杨柳,,,https://www.zysj.com.cn/zhongyaocai/shuizhuimu/index.html,1,《全国中草药汇编》,2025-12-21 21:41:10
tuorou,鼍肉,Tuó Ròu,,,,https://www.zysj.com.cn/zhongyaocai/tuorou/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:10
tuojia,鼍甲,Tuó Jiǎ,鮀鱼甲（《本经》）。,,,https://www.zysj.com.cn/zhongyaocai/tuojia/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:11
tihuzhiyou,鹈鹕脂油,Tí Hú Zhī Yóu,,,,https://www.zysj.com.cn/zhongyaocai/tihuzhiyou/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:11
